"الترتيب
","الرواية
","المؤلف
","البلد
"
"23
","ليلة السنوات العشر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D9%84%D8%A9_%D8%A7%D9%84%D8%B3%D9%86%D9%88%D8%A7%D8%AA_%D8%A7%D9%84%D8%B9%D8%B4%D8%B1"")","محمد صالح الجابري
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D9%84%D8%B5%D8%A7%D9%84%D8%AD_%D8%A7%D9%84%D8%AC%D8%A7%D8%A8%D8%B1%D9%8A"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"24
","موسم الهجرة إلى الشمال
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D9%88%D8%B3%D9%85_%D8%A7%D9%84%D9%87%D8%AC%D8%B1%D8%A9_%D8%A5%D9%84%D9%89_%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84"")","الطيب صالح
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B7%D9%8A%D8%A8_%D8%B5%D8%A7%D9%84%D8%AD"")"," السودان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86"")"
"25
","ذاكرة الجسد
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B0%D8%A7%D9%83%D8%B1%D8%A9_%D8%A7%D9%84%D8%AC%D8%B3%D8%AF_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","أحلام مستغانمي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D8%AD%D9%84%D8%A7%D9%85_%D9%85%D8%B3%D8%AA%D8%BA%D8%A7%D9%86%D9%85%D9%8A"")"," الجزائر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1"")"
"26
","الخبز الحافي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AE%D8%A8%D8%B2_%D8%A7%D9%84%D8%AD%D8%A7%D9%81%D9%8A"")","محمد شكري
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B4%D9%83%D8%B1%D9%8A"")"," المغرب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8"")"
"27
","تشريفة آل المر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D8%B4%D8%B1%D9%8A%D9%81%D8%A9_%D8%A2%D9%84_%D8%A7%D9%84%D9%85%D8%B1"")","عبد الكريم ناصيف
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85_%D9%86%D8%A7%D8%B5%D9%8A%D9%81"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"28
","دار المتعة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D9%85%D8%AA%D8%B9%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","وليد اخلاصي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%88%D9%84%D9%8A%D8%AF_%D8%A5%D8%AE%D9%84%D8%A7%D8%B5%D9%8A"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"29
","طواحين بيروت
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B7%D9%88%D8%A7%D8%AD%D9%8A%D9%86_%D8%A8%D9%8A%D8%B1%D9%88%D8%AA"")","توفيق يوسف عواد
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%81%D9%8A%D9%82_%D9%8A%D9%88%D8%B3%D9%81_%D8%B9%D9%88%D8%A7%D8%AF"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
"30
","الأفيال
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D9%81%D9%8A%D8%A7%D9%84_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","فتحي غانم
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%81%D8%AA%D8%AD%D9%8A_%D8%BA%D8%A7%D9%86%D9%85"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"31
","نجران تحت الصفر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%86%D8%AC%D8%B1%D8%A7%D9%86_%D8%AA%D8%AD%D8%AA_%D8%A7%D9%84%D8%B5%D9%81%D8%B1"")","يحيي يخلف
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%8A%D8%AD%D9%8A%D9%89_%D9%8A%D8%AE%D9%84%D9%81"")"," فلسطين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%A9_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86"")"
"32
","العشاق
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B9%D8%B4%D8%A7%D9%82_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","رشاد أبو شاور
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B1%D8%B4%D8%A7%D8%AF_%D8%A3%D8%A8%D9%88_%D8%B4%D8%A7%D9%88%D8%B1"")"," فلسطين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%A9_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86"")"
