"الترتيب
","الرواية
","المؤلف
","البلد
"
"87
","ايام الرماد
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A7%D9%8A%D8%A7%D9%85_%D8%A7%D9%84%D8%B1%D9%85%D8%A7%D8%AF_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","محمد عز الدين التازي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B9%D8%B2_%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D8%A7%D9%84%D8%AA%D8%A7%D8%B2%D9%8A"")"," المغرب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8"")"
"88
","رأس بيروت
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%B1%D8%A3%D8%B3_%D8%A8%D9%8A%D8%B1%D9%88%D8%AA_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","ياسين رفاعية
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%8A%D8%A7%D8%B3%D9%8A%D9%86_%D8%B1%D9%81%D8%A7%D8%B9%D9%8A%D8%A9"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"89
","عين الشمس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D9%8A%D9%86_%D8%A7%D9%84%D8%B4%D9%85%D8%B3_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","خليفة حسين مصطفي
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%AE%D9%84%D9%8A%D9%81%D8%A9_%D8%AD%D8%B3%D9%8A%D9%86_%D9%85%D8%B5%D8%B7%D9%81%D9%8A&action=edit&redlink=1"")"," ليبيا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7"")"
"90
","لونجه والغول
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D9%88%D9%86%D8%AC%D8%A9_%D9%88%D8%A7%D9%84%D8%BA%D9%88%D9%84_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","زهور ونيسي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B2%D9%87%D9%88%D8%B1_%D9%88%D9%86%D9%8A%D8%B3%D9%8A"")"," الجزائر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1"")"
"91
","صخب البحيرة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B5%D8%AE%D8%A8_%D8%A7%D9%84%D8%A8%D8%AD%D9%8A%D8%B1%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","محمد البساطي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D9%84%D8%A8%D8%B3%D8%A7%D8%B7%D9%8A"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"92
","السائرون نياما
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D8%A7%D8%A6%D8%B1%D9%88%D9%86_%D9%86%D9%8A%D8%A7%D9%85%D8%A7_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","سعد مكاوي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D8%B9%D8%AF_%D9%85%D9%83%D8%A7%D9%88%D9%8A"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"93
","1952
 =HYPERLINK(""https://ar.wikipedia.org/wiki/1952_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","جميل عطية إبراهيم
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AC%D9%85%D9%8A%D9%84_%D8%B9%D8%B7%D9%8A%D8%A9_%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"94
","طيور أيلول
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%B7%D9%8A%D9%88%D8%B1_%D8%A3%D9%8A%D9%84%D9%88%D9%84_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","إميلي نصر الله
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D9%85%D9%8A%D9%84%D9%8A_%D9%86%D8%B5%D8%B1_%D8%A7%D9%84%D9%84%D9%87"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
"95
","المؤامرة
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A7%D9%84%D9%85%D8%A4%D8%A7%D9%85%D8%B1%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","فرج الحوار
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%81%D8%B1%D8%AC_%D8%A7%D9%84%D8%AD%D9%88%D8%A7%D8%B1"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"96
","المعلم علي
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%85_%D8%B9%D9%84%D9%8A_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","عبد الكريم غلاب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85_%D8%BA%D9%84%D8%A7%D8%A8"")"," المغرب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8"")"
"97
","قامات الزبد
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%82%D8%A7%D9%85%D8%A7%D8%AA_%D8%A7%D9%84%D8%B2%D8%A8%D8%AF_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","إلياس فركوح
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D9%84%D9%8A%D8%A7%D8%B3_%D9%81%D8%B1%D9%83%D9%88%D8%AD"")"," الأردن
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86"")"
"98
","عصافير الفجر
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%B9%D8%B5%D8%A7%D9%81%D9%8A%D8%B1_%D8%A7%D9%84%D9%81%D8%AC%D8%B1_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","ليلى عسيران
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D9%84%D9%89_%D8%B9%D8%B3%D9%8A%D8%B1%D8%A7%D9%86"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
"99
","جسر بنات يعقوب
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AC%D8%B3%D8%B1_%D8%A8%D9%86%D8%A7%D8%AA_%D9%8A%D8%B9%D9%82%D9%88%D8%A8_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","حسن حميد
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D8%AD%D9%85%D9%8A%D8%AF"")"," فلسطين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%A9_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86"")"
"100
","الوسمية
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A7%D9%84%D9%88%D8%B3%D9%85%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&action=edit&redlink=1"")","عبد العزيز مشري
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2_%D9%85%D8%B4%D8%B1%D9%8A"")"," السعودية
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9"")"
"101
","البشموري
 =HYPERLINK(""https://ar.wikipedia.org/w/index.php?title=%D8%A7%D9%84%D8%A8%D8%B4%D9%85%D9%88%D8%B1%D9%8A_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9_)&action=edit&redlink=1"")","سلوى بكر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%84%D9%88%D9%89_%D8%A8%D9%83%D8%B1"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"102
","الفارس القتيل يترجل
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D8%B3_%D8%A7%D9%84%D9%82%D8%AA%D9%8A%D9%84_%D9%8A%D8%AA%D8%B1%D8%AC%D9%84_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","إلياس الديري
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D9%84%D9%8A%D8%A7%D8%B3_%D8%A7%D9%84%D8%AF%D9%8A%D8%B1%D9%8A"")"," لبنان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%A8%D9%86%D8%A7%D9%86"")"
"103
","التوت المر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AA%D9%88%D8%AA_%D8%A7%D9%84%D9%85%D8%B1"")","محمد العروسي المطوي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A7%D9%84%D8%B9%D8%B1%D9%88%D8%B3%D9%8A_%D8%A7%D9%84%D9%85%D8%B7%D9%88%D9%8A"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"104
","أغنية الماء والنار
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A3%D8%BA%D9%86%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D8%A7%D8%A1_%D9%88%D8%A7%D9%84%D9%86%D8%A7%D8%B1_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","عبد الله خليفة
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D9%84%D9%8A%D9%81%D8%A9"")"," البحرين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86"")"
"105
","الباب المفتوح
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%A7%D8%A8_%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","لطيفة الزيات
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%84%D8%B7%D9%8A%D9%81%D8%A9_%D8%A7%D9%84%D8%B2%D9%8A%D8%A7%D8%AA"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"106
","مدن الملح (خماسية)
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AF%D9%86_%D8%A7%D9%84%D9%85%D9%84%D8%AD"")","عبد الرحمن منيف
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86_%D8%A7%D9%84%D9%85%D9%86%D9%8A%D9%81"")"," السعودية
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9"")"
